"ThetaMin","ThetaMax","PhiMin","PhiMax","P1_Q1_index","P2_Q2_index","P3_Q3_index","T_r"
648,786,2352,2490,34,40,80,941
648,786,2484,2622,22,40,83,944
780,1050,2094,2358,34,40,80,928
780,918,2352,2490,34,40,80,942
780,918,2484,2622,22,40,83,944
912,1050,2352,2490,34,40,80,942
912,1050,2484,2622,22,41,83,943
516,654,2616,2754,21,40,84,946
516,654,2748,2886,21,41,84,947
648,786,2616,2754,21,41,84,947
648,786,2748,2886,21,41,84,947
516,786,2880,3150,21,80,34,937
780,918,2616,2754,21,41,84,946
780,918,2748,2886,21,41,84,947
912,1050,2616,2754,21,41,84,946
912,1050,2748,2886,21,41,84,947
780,1050,2880,3150,21,80,34,937
-6,126,3144,3276,20,80,34,945
-6,126,3270,3408,20,80,84,951
120,258,3144,3276,20,41,84,945
120,258,3270,3408,20,41,84,950
-6,126,3402,3540,20,80,84,951
-6,60,3534,3606,20,41,33,956
-6,60,3600,3672,20,41,33,956
54,126,3534,3606,20,41,33,955
54,126,3600,3672,20,41,33,955
120,258,3402,3540,20,41,84,950
120,258,3534,3672,20,80,84,950
252,390,3144,3276,20,41,84,944
252,390,3270,3408,20,41,84,950
384,522,3144,3276,20,41,84,944
384,522,3270,3408,20,41,84,949
252,390,3402,3540,20,41,84,950
252,390,3534,3672,20,41,84,938
384,522,3402,3540,20,41,84,937
384,522,3534,3672,20,41,84,939
-6,60,3666,3738,20,41,33,942
-6,60,3732,3804,20,41,33,943
54,126,3666,3738,20,41,33,943
54,126,3732,3804,20,41,33,944
-6,126,3798,3936,20,79,85,940
120,192,3666,3738,20,41,33,943
120,192,3732,3804,20,41,33,944
186,258,3666,3738,20,41,33,944
186,258,3732,3804,20,41,84,945
120,192,3798,3870,20,41,33,945
120,192,3864,3936,20,41,33,946
186,258,3798,3870,20,41,84,946
186,258,3864,3936,20,41,84,947
-6,126,3930,4068,20,79,85,942
-6,126,4062,4200,20,79,85,944
120,258,3930,4068,20,79,85,943
120,258,4062,4200,20,79,85,945
252,390,3666,3804,20,41,85,940
252,390,3798,3936,20,41,85,942
384,522,3666,3804,20,41,85,941
384,522,3798,3936,20,41,85,943
252,390,3930,4068,20,41,85,944
252,390,4062,4200,20,41,85,946
384,522,3930,4068,20,41,85,945
384,522,4062,4200,20,41,85,946
516,786,3144,3408,21,80,34,939
516,654,3402,3540,20,41,84,938
516,654,3534,3672,20,41,85,940
648,786,3402,3540,20,41,84,939
648,786,3534,3672,20,41,85,941
780,1050,3144,3408,21,80,34,928
780,1050,3402,3672,20,80,34,932
516,654,3666,3804,20,41,85,942
516,654,3798,3936,20,41,85,944
648,786,3666,3804,20,41,85,943
648,786,3798,3936,20,41,85,945
516,654,3930,4068,20,41,85,946
516,654,4062,4200,20,41,85,945
648,786,3930,4068,20,41,85,946
648,786,4062,4200,20,41,85,944
780,918,3666,3804,20,41,85,944
780,918,3798,3936,20,41,85,946
912,1050,3666,3804,20,41,85,945
912,1050,3798,3936,20,41,85,945
780,918,3930,4068,20,41,85,945
780,918,4062,4200,20,41,85,944
912,1050,3930,4068,20,41,85,945
912,1050,4062,4200,20,41,85,945
1044,1308,2094,2358,34,41,81,930
1044,1176,2352,2490,34,40,80,943
1044,1176,2484,2622,22,41,83,945
1170,1308,2352,2490,34,41,80,943
1170,1308,2484,2622,22,41,83,946
1302,1572,2094,2358,34,41,81,930
1302,1572,2352,2622,34,41,80,932
1044,1176,2616,2754,21,41,84,945
1044,1176,2748,2886,21,41,84,947
1170,1308,2616,2754,21,41,84,945
1170,1308,2748,2886,21,41,84,947
1044,1308,2880,3150,21,80,34,937
1302,1572,2616,2886,34,41,80,936
1302,1572,2880,3150,21,41,85,936
1566,1836,2094,2358,34,41,81,931
1566,1836,2352,2622,34,41,80,933
1830,2100,2094,2358,34,41,81,931
1830,2100,2352,2622,34,41,81,934
1566,1836,2616,2886,34,41,80,935
1566,1836,2880,3150,21,41,85,929
1830,2100,2616,2886,34,41,80,933
1830,2100,2880,3150,21,41,85,930
1044,1308,3144,3408,21,41,85,930
1044,1308,3402,3672,20,41,85,934
1302,1572,3144,3408,21,41,85,932
1302,1572,3402,3672,21,41,85,934
1044,1308,3666,3936,20,41,85,935
1044,1308,3930,4200,20,41,85,934
1302,1572,3666,3936,20,41,85,936
1302,1572,3930,4200,20,41,85,944
1566,1836,3144,3408,21,41,85,933
1566,1836,3402,3672,21,41,85,938
1830,2100,3144,3408,21,41,85,935
1830,2100,3402,3672,21,41,85,937
1566,1836,3666,3936,20,41,85,935
1566,1836,3930,4200,20,41,85,945
1830,2100,3666,3936,20,41,85,943
1830,2100,3930,4200,20,41,85,947
2094,2358,-6,258,33,34,41,944
2094,2226,252,390,30,31,38,951
2094,2226,384,522,30,31,38,949
2220,2358,252,390,30,31,38,951
2220,2358,384,522,30,31,38,949
2352,2622,-6,258,34,35,42,944
2352,2490,252,390,30,31,38,951
2352,2490,384,522,30,31,38,949
2484,2622,252,390,30,31,38,951
2484,2622,384,522,30,31,38,949
2094,2226,516,654,32,33,40,947
2094,2226,648,786,33,34,41,944
2220,2358,516,654,32,33,40,947
2220,2358,648,786,33,34,41,944
2094,2226,780,918,33,34,41,942
2094,2226,912,1050,33,34,41,941
2220,2358,780,918,33,34,41,942
2220,2358,912,1050,33,34,41,941
2352,2490,516,654,32,33,40,947
2352,2490,648,786,33,34,41,944
2484,2622,516,654,32,33,40,947
2484,2622,648,786,33,34,41,944
2352,2490,780,918,33,34,41,942
2352,2490,912,1050,33,34,41,941
2484,2622,780,918,33,34,41,942
2484,2622,912,1050,33,34,41,941
2616,2886,-6,258,34,35,42,944
2616,2754,252,390,30,31,38,951
2616,2754,384,522,30,31,38,949
2748,2886,252,390,30,31,38,951
2748,2886,384,522,30,31,38,949
2880,3150,-6,258,34,35,42,944
2880,3018,252,390,30,31,38,951
2880,3018,384,522,30,31,38,949
3012,3150,252,390,30,31,38,951
3012,3150,384,522,30,31,38,949
2616,2754,516,654,32,33,40,947
2616,2754,648,786,33,34,41,944
2748,2886,516,654,32,33,40,947
2748,2886,648,786,33,34,41,944
2616,2754,780,918,33,34,41,942
2616,2754,912,1050,33,34,41,941
2748,2886,780,918,33,34,41,942
2748,2886,912,1050,33,34,41,940
2880,3018,516,654,32,33,40,947
2880,3018,648,786,33,34,41,944
3012,3150,516,654,32,33,40,947
3012,3150,648,786,33,34,41,944
2880,3018,780,918,33,34,41,942
2880,3018,912,1050,33,34,41,940
3012,3150,780,918,33,34,41,942
3012,3150,912,1050,33,34,41,940
2094,2226,1044,1176,33,34,41,944
2094,2226,1170,1308,33,34,41,942
2220,2358,1044,1176,33,34,41,944
2220,2358,1170,1308,34,35,42,942
2094,2358,1302,1572,34,40,82,931
2352,2490,1044,1176,33,34,41,944
2352,2490,1170,1308,34,35,42,942
2484,2622,1044,1176,33,34,41,943
2484,2622,1170,1308,34,35,42,942
2352,2622,1302,1572,34,40,82,931
2094,2358,1566,1836,34,40,81,938
2094,2358,1830,2100,34,41,81,931
2352,2622,1566,1836,34,40,81,938
2352,2622,1830,2100,34,41,81,931
2616,2754,1044,1176,33,34,41,943
2616,2754,1170,1308,34,35,42,941
2748,2886,1044,1176,34,35,42,943
2748,2886,1170,1308,34,35,42,941
2616,2886,1302,1572,34,40,82,932
2880,3018,1044,1176,34,35,42,943
2880,3018,1170,1308,34,35,42,941
3012,3150,1044,1176,34,35,42,943
3012,3150,1170,1308,34,35,42,941
2880,3150,1302,1572,35,40,82,933
2616,2886,1566,1836,34,41,82,937
2616,2886,1830,2100,34,41,81,931
2880,3150,1566,1836,35,41,82,936
2880,3150,1830,2100,35,41,81,931
3144,3408,-6,258,33,34,41,944
3144,3276,252,390,30,31,38,951
3144,3276,384,522,30,31,38,949
3270,3408,252,390,30,31,38,951
3270,3408,384,522,30,31,38,949
3402,3672,-6,258,34,35,42,944
3402,3540,252,390,30,31,38,951
3402,3540,384,522,30,31,38,949
3534,3672,252,390,30,31,38,951
3534,3672,384,522,30,31,38,949
3144,3276,516,654,32,33,40,947
3144,3276,648,786,33,34,41,944
3270,3408,516,654,32,33,40,947
3270,3408,648,786,33,34,41,944
3144,3276,780,918,33,34,41,942
3144,3276,912,1050,33,34,41,940
3270,3408,780,918,33,34,41,942
3270,3408,912,1050,34,35,42,940
3402,3540,516,654,32,33,40,947
3402,3540,648,786,33,34,41,944
3534,3672,516,654,32,33,40,947
3534,3672,648,786,33,34,41,944
3402,3540,780,918,33,34,41,942
3402,3540,912,1050,34,35,42,940
3534,3672,780,918,33,34,41,942
3534,3672,912,1050,34,35,42,940
3666,3936,-6,258,34,35,42,944
3666,3804,252,390,30,31,38,951
3666,3804,384,522,30,31,38,949
3798,3936,252,390,30,31,38,951
3798,3936,384,522,30,31,38,949
3930,4200,-6,258,34,35,42,944
3930,4068,252,390,30,31,38,951
3930,4068,384,522,30,31,38,949
4062,4200,252,390,30,31,38,951
4062,4200,384,522,30,31,38,949
3666,3804,516,654,32,33,40,947
3666,3804,648,786,33,34,41,944
3798,3936,516,654,32,33,40,947
3798,3936,648,786,33,34,41,945
3666,3804,780,918,33,34,41,942
3666,3804,912,1050,34,35,42,940
3798,3936,780,918,33,34,41,942
3798,3936,912,1050,34,35,42,940
3930,4068,516,654,32,33,40,947
3930,4068,648,786,33,34,41,945
4062,4200,516,654,33,34,41,947
4062,4200,648,786,33,34,41,945
3930,4068,780,918,33,34,41,942
3930,4068,912,1050,34,35,42,940
4062,4200,780,918,33,34,41,942
4062,4200,912,1050,34,35,42,940
3144,3276,1044,1176,34,35,42,940
3144,3276,1170,1308,34,35,42,941
3270,3408,1044,1176,34,35,42,940
3270,3408,1170,1308,34,35,42,940
3144,3408,1302,1572,35,40,82,933
3402,3540,1044,1176,34,35,42,940
3402,3540,1170,1308,34,35,42,940
3534,3672,1044,1176,34,35,42,940
3534,3672,1170,1308,34,35,42,940
3402,3672,1302,1572,35,40,82,934
3144,3408,1566,1836,35,41,82,935
3144,3408,1830,2100,35,41,81,931
3402,3672,1566,1836,35,41,82,931
3402,3672,1830,2100,35,41,81,931
3666,3804,1044,1176,34,35,42,940
3666,3804,1170,1308,34,35,42,945
3798,3936,1044,1176,34,35,42,941
