"ThetaMin","ThetaMax","PhiMin","PhiMax","P1_Q1_index","P2_Q2_index","P3_Q3_index","T_r"
252,390,8262,8400,6,64,18,946
384,456,8130,8202,6,41,85,951
384,456,8196,8268,6,41,69,948
450,522,8130,8202,6,41,69,948
450,522,8196,8268,6,41,69,949
384,522,8262,8400,6,41,69,945
516,654,7344,7476,7,24,68,948
516,654,7470,7608,7,24,68,948
648,786,7344,7476,7,24,68,947
648,786,7470,7608,7,24,68,946
516,588,7602,7674,6,24,68,949
516,588,7668,7740,6,24,68,950
582,654,7602,7674,6,24,68,948
582,654,7668,7740,6,24,68,949
516,588,7734,7806,6,24,68,950
516,588,7800,7872,6,24,68,951
582,654,7734,7806,6,24,68,949
582,654,7800,7872,6,24,68,950
648,720,7602,7674,6,24,68,951
648,720,7668,7740,6,24,68,950
714,786,7602,7674,6,24,68,950
714,786,7668,7740,6,24,68,948
648,720,7734,7806,6,24,68,948
648,684,7800,7836,6,24,68,951
648,684,7830,7872,6,24,68,950
678,720,7800,7836,6,24,68,951
678,720,7830,7872,6,41,68,951
714,750,7734,7770,6,24,68,951
714,750,7764,7806,6,24,68,951
744,786,7734,7770,6,24,68,951
744,786,7764,7806,6,24,68,951
714,750,7800,7836,6,24,68,951
714,750,7830,7872,6,41,68,950
744,786,7800,7836,6,41,68,951
744,786,7830,7872,6,41,68,950
780,918,7344,7476,7,24,68,946
780,852,7470,7542,7,24,68,950
780,852,7536,7608,6,24,68,948
846,918,7470,7542,7,24,68,948
846,918,7536,7608,7,24,68,949
912,1050,7344,7476,7,24,68,944
912,1050,7470,7608,7,65,19,943
780,852,7602,7674,6,24,68,949
780,852,7668,7740,6,24,68,949
846,918,7602,7674,6,24,68,948
846,882,7668,7704,6,24,68,951
846,882,7698,7740,6,25,68,950
876,918,7668,7704,6,25,68,950
876,918,7698,7740,6,25,68,950
780,816,7734,7770,6,24,68,951
780,816,7764,7806,6,41,68,951
810,852,7734,7770,6,41,68,950
810,852,7764,7806,6,25,68,950
780,816,7800,7836,6,25,68,951
780,798,7830,7854,6,25,68,952
780,798,7848,7872,6,25,68,952
792,816,7830,7854,6,25,68,951
792,816,7848,7872,6,25,68,951
810,852,7800,7836,6,25,68,950
810,852,7830,7872,6,25,69,950
846,882,7734,7770,6,25,68,950
846,882,7764,7806,6,25,68,950
876,918,7734,7770,6,25,68,950
876,918,7764,7806,6,25,69,949
846,918,7800,7872,6,25,69,947
912,984,7602,7674,6,41,68,948
912,948,7668,7704,6,25,68,950
912,948,7698,7740,6,25,68,949
942,984,7668,7704,6,25,68,949
942,984,7698,7740,6,25,68,949
978,1050,7602,7674,6,65,19,947
978,1050,7668,7740,6,65,19,952
912,984,7734,7806,6,25,69,947
912,984,7800,7872,6,25,69,953
978,1050,7734,7806,6,25,69,953
978,1050,7800,7872,6,25,69,954
516,588,7866,7938,6,41,85,951
516,552,7932,7968,6,24,68,953
516,552,7962,8004,6,24,68,952
546,588,7932,7968,6,24,68,950
546,588,7962,8004,6,41,85,950
582,618,7866,7902,6,24,68,953
582,618,7896,7938,6,24,68,950
612,654,7866,7902,6,24,68,950
612,654,7896,7938,6,41,68,951
582,618,7932,7968,6,41,68,951
582,618,7962,8004,6,64,18,951
612,636,7932,7950,6,41,68,952
612,636,7944,7968,6,41,68,952
630,654,7932,7950,6,41,68,952
630,654,7944,7968,6,41,68,952
612,636,7962,7986,6,41,68,952
612,636,7980,8004,6,41,68,952
630,654,7962,7986,6,25,68,953
630,654,7980,8004,6,25,69,952
516,552,7998,8034,6,41,85,950
516,552,8028,8070,6,41,85,950
546,588,7998,8034,6,41,85,950
546,588,8028,8070,6,64,18,951
516,588,8064,8136,6,64,18,949
582,618,7998,8034,6,64,18,951
582,618,8028,8070,6,41,69,951
612,654,7998,8034,6,41,69,951
612,654,8028,8070,6,41,69,951
582,654,8064,8136,6,41,69,949
648,684,7866,7902,6,41,68,951
648,666,7896,7920,6,41,68,952
648,666,7914,7938,6,41,68,952
660,684,7896,7920,6,41,68,952
660,684,7914,7938,6,41,68,952
678,720,7866,7902,6,41,68,951
678,702,7896,7920,6,25,68,952
678,702,7914,7938,6,25,68,952
696,720,7896,7920,6,25,68,952
696,720,7914,7938,6,25,68,952
648,666,7932,7950,6,25,68,953
648,666,7944,7968,6,25,68,952
660,684,7932,7950,6,25,68,952
660,684,7944,7968,6,25,68,952
648,684,7962,8004,6,41,69,951
678,720,7932,7968,6,41,69,951
678,720,7962,8004,6,25,69,951
714,750,7866,7902,6,41,68,951
714,750,7896,7938,6,25,69,951
744,768,7866,7884,6,25,68,952
744,768,7878,7902,6,25,68,952
762,786,7866,7884,6,25,68,951
762,786,7878,7902,6,25,68,951
744,786,7896,7938,6,25,69,950
714,786,7932,8004,6,41,69,948
648,786,7998,8136,6,41,69,943
516,786,8130,8400,6,64,69,933
780,918,7866,8004,6,41,69,942
780,918,7998,8136,6,41,69,941
912,1050,7866,8004,6,41,69,949
912,1050,7998,8136,6,41,69,951
780,1050,8130,8400,6,41,69,935
1044,1308,6294,6558,19,24,65,940
1044,1308,6552,6822,19,24,65,938
1302,1572,6294,6558,19,24,65,937
1302,1572,6552,6822,19,24,65,935
1044,1308,6816,7086,8,65,19,936
1044,1308,7080,7350,7,65,19,934
1302,1572,6816,7086,8,65,19,937
1302,1572,7080,7350,7,65,19,940
1566,1836,6294,6558,19,24,65,935
1566,1836,6552,6822,19,24,65,938
1830,2100,6294,6558,19,24,65,939
1830,2100,6552,6822,19,41,65,941
1566,1836,6816,7086,8,65,19,941
1566,1836,7080,7350,7,65,19,943
1830,2100,6816,7086,8,65,19,944
1830,2100,7080,7350,7,65,19,946
1044,1176,7344,7476,7,65,19,943
1044,1176,7470,7608,7,65,19,947
1170,1308,7344,7476,7,65,19,948
1170,1308,7470,7608,7,65,19,949
1044,1110,7602,7674,7,65,19,953
1044,1110,7668,7740,6,25,69,953
1104,1176,7602,7674,7,25,69,954
1104,1176,7668,7740,6,25,69,954
1044,1176,7734,7872,6,25,69,950
1170,1308,7602,7740,7,25,69,951
1170,1308,7734,7872,7,25,69,951
1302,1440,7344,7476,7,65,19,950
1302,1440,7470,7608,7,25,69,951
1434,1572,7344,7476,7,25,69,952
1434,1572,7470,7608,7,25,69,953
1302,1572,7602,7872,7,41,69,942
1044,1308,7866,8136,7,41,69,944
1044,1308,8130,8400,6,41,69,945
1302,1572,7866,8136,7,41,69,947
1302,1572,8130,8400,6,41,69,948
1566,1836,7344,7608,7,41,69,945
1566,1836,7602,7872,7,41,69,944
1830,2100,7344,7608,7,41,69,941
1830,2100,7602,7872,7,25,69,946
1566,1836,7866,8136,7,41,69,949
1566,1836,8130,8400,7,25,69,950
1830,2100,7866,8136,7,25,69,951
1830,2100,8130,8400,7,25,69,951
2094,2358,4194,4458,20,41,85,946
2094,2226,4452,4590,20,41,85,954
2094,2226,4584,4722,20,41,85,953
2220,2358,4452,4590,20,41,85,954
2220,2358,4584,4722,20,41,85,953
2352,2622,4194,4458,20,80,34,945
2352,2490,4452,4590,20,41,85,953
2352,2490,4584,4722,20,41,85,952
2484,2622,4452,4590,20,41,85,952
2484,2622,4584,4722,20,41,85,951
2094,2226,4716,4854,20,23,67,952
2094,2226,4848,4986,20,23,67,952
2220,2358,4716,4854,20,23,67,952
2220,2358,4848,4986,20,23,67,951
2094,2358,4980,5250,20,24,67,939
2352,2490,4716,4854,20,23,67,951
2352,2490,4848,4986,20,23,67,950
2484,2622,4716,4854,20,23,67,950
2484,2622,4848,4986,20,23,67,949
2352,2622,4980,5250,20,24,67,939
2616,2886,4194,4458,20,80,34,943
2616,2886,4452,4722,20,80,34,942
2880,3150,4194,4458,20,80,34,942
2880,3150,4452,4722,20,80,34,940
2616,2754,4716,4854,20,23,67,950
2616,2754,4848,4986,20,23,67,949
2748,2886,4716,4854,20,23,67,939
2748,2886,4848,4986,20,23,67,941
2616,2886,4980,5250,20,24,67,933
2880,3150,4716,4986,20,80,34,933
2880,3150,4980,5250,20,24,67,935
2094,2622,5244,5772,20,24,66,915
2094,2358,5766,6036,20,24,66,934
2094,2358,6030,6300,19,24,66,939
2352,2622,5766,6036,20,24,66,938
2352,2622,6030,6300,24,66,34,942
2616,3150,5244,5772,20,24,66,919
2616,2886,5766,6036,20,24,66,940
2616,2886,6030,6300,20,24,66,938
2880,3150,5766,6036,20,24,66,940
2880,3150,6030,6300,20,25,66,940
3144,3276,4194,4326,20,41,85,944
3144,3276,4320,4458,20,41,85,943
3270,3408,4194,4326,20,41,85,945
3270,3408,4320,4458,20,80,34,939
3144,3276,4452,4590,20,80,34,940
3144,3276,4584,4722,20,80,34,942
3270,3408,4452,4590,20,80,34,941
3270,3408,4584,4722,20,80,34,943
3402,3540,4194,4326,20,80,34,939
3402,3540,4320,4458,20,80,34,941
3534,3672,4194,4326,20,80,34,940
3534,3672,4320,4458,20,80,34,942
3402,3540,4452,4590,20,80,34,942
3402,3540,4584,4722,20,80,34,944
3534,3672,4452,4590,20,80,34,944
3534,3672,4584,4722,20,80,34,945
3144,3276,4716,4854,20,23,67,943
3144,3276,4848,4986,20,24,67,945
3270,3408,4716,4854,20,23,67,944
3270,3408,4848,4986,20,24,67,944
3144,3408,4980,5250,20,24,67,939
3402,3540,4716,4854,20,23,67,945
3402,3540,4848,4986,20,24,67,943
3534,3672,4716,4854,20,23,67,944
3534,3672,4848,4986,20,24,67,945
3402,3672,4980,5250,20,24,67,941
3666,3804,4194,4326,20,80,34,941
3666,3804,4320,4458,20,80,34,943
3798,3936,4194,4326,20,80,34,943
3798,3936,4320,4458,20,80,34,944
3666,3804,4452,4590,20,80,34,945
3666,3804,4584,4722,20,80,34,945
3798,3936,4452,4590,20,80,34,945
3798,3936,4584,4722,20,80,34,944
3930,4200,4194,4458,21,80,86,936
3930,4200,4452,4722,20,80,86,934
3666,3936,4716,4986,20,80,86,938
3666,3936,4980,5250,20,24,67,937
3930,4200,4716,4986,20,80,86,940
3930,4200,4980,5250,20,24,67,940
3144,3408,5244,5508,20,24,66,942
3144,3408,5502,5772,20,24,66,945
3402,3672,5244,5508,20,24,67,944
3402,3672,5502,5772,20,24,66,945
3144,3408,5766,6036,20,24,66,937
3144,3408,6030,6300,20,25,66,940
3402,3672,5766,6036,20,25,66,945
3402,3672,6030,6300,20,25,66,937
3666,3936,5244,5508,20,24,67,937
3666,3936,5502,5772,20,24,66,937
3930,4200,5244,5508,20,24,67,939
3930,4200,5502,5772,20,25,66,939
3666,3936,5766,6036,20,25,66,943
3666,3936,6030,6300,20,25,66,944
3930,4200,5766,6036,20,25,66,939
3930,4200,6030,6300,20,25,66,939
2094,2358,6294,6558,19,24,65,942
2094,2226,6552,6690,8,24,68,952
2094,2226,6684,6822,8,25,68,954
2220,2358,6552,6690,8,25,68,954
2220,2358,6684,6822,8,25,68,955
2352,2490,6294,6426,19,24,66,953
2352,2490,6420,6558,19,24,65,954
2484,2622,6294,6426,19,24,66,954
2484,2622,6420,6558,19,25,65,955
2352,2622,6552,6822,19,25,65,947
2094,2358,6816,7086,8,65,19,947
2094,2358,7080,7350,8,25,69,949
2352,2622,6816,7086,8,25,69,950
2352,2622,7080,7350,8,25,69,948
2616,2886,6294,6558,25,68,34,936
2616,2754,6552,6690,8,25,68,958
2616,2754,6684,6822,8,25,68,959
2748,2886,6552,6690,8,25,68,945
2748,2886,6684,6822,8,25,68,958
2880,3150,6294,6558,25,66,34,939
2880,3150,6552,6822,25,69,34,937
2616,2886,6816,7086,8,25,69,950
2616,2886,7080,7350,8,25,69,942
2880,3150,6816,7086,8,25,69,935
2880,3150,7080,7350,8,25,69,944
2094,2358,7344,7608,7,25,69,944
2094,2358,7602,7872,7,25,69,946
2352,2622,7344,7608,7,25,69,945
2352,2622,7602,7872,7,25,69,944
2094,2358,7866,8136,7,25,69,951
2094,2358,8130,8400,7,25,69,951
2352,2622,7866,8136,7,25,69,949
2352,2622,8130,8400,7,25,69,951
2616,2886,7344,7608,7,25,69,947
2616,2886,7602,7872,7,25,69,950
2880,3150,7344,7608,7,25,69,949
2880,3150,7602,7872,7,25,69,949
2616,2886,7866,8136,7,25,69,947
2616,2886,8130,8400,7,25,69,950
2880,3150,7866,8136,7,25,69,945
2880,3150,8130,8400,7,65,19,949
3144,3408,6294,6558,20,25,66,941
3144,3408,6552,6822,25,69,34,939
3402,3672,6294,6558,20,25,66,940
3402,3672,6552,6822,25,69,86,942
3144,3408,6816,7086,8,25,69,938
3144,3408,7080,7350,8,25,69,936
3402,3672,6816,7086,8,25,69,940
3402,3672,7080,7350,8,25,69,939
3666,3936,6294,6558,20,25,66,936
3666,3936,6552,6822,20,25,66,939
3930,4200,6294,6558,20,25,66,939
3930,4200,6552,6822,20,25,66,936
3666,3936,6816,7086,8,25,69,942
3666,3936,7080,7350,8,25,69,941
3930,4200,6816,7086,8,25,69,938
3930,4200,7080,7350,8,25,69,941
3144,3408,7344,7608,8,25,69,935
3144,3408,7602,7872,7,25,69,933
3402,3672,7344,7608,8,25,69,937
3402,3672,7602,7872,7,25,69,936
3144,3408,7866,8136,7,25,69,948
3144,3408,8130,8400,7,65,19,947
3402,3672,7866,8136,7,65,19,934
3402,3672,8130,8400,7,65,19,933
3666,3936,7344,7608,8,25,69,940
3666,3936,7602,7872,7,65,86,939
3930,4200,7344,7608,8,25,69,942
3930,4200,7602,7872,7,65,86,941
3666,3936,7866,8136,7,65,19,937
3666,3936,8130,8400,7,65,19,936
3930,4200,7866,8136,7,65,86,940
3930,4068,8130,8268,7,65,19,948
3930,4068,8262,8400,7,65,19,947
4062,4200,8130,8268,7,65,19,948
4062,4200,8262,8400,7,65,19,948
-6,126,8394,8526,6,64,18,949
-6,126,8520,8658,6,9,52,948
120,258,8394,8526,6,64,18,947
120,258,8520,8658,6,9,52,947
-6,258,8652,8922,6,9,52,934
252,522,8394,8658,6,64,69,935
252,522,8652,8922,6,9,52,934
-6,258,8916,9186,6,9,52,936
-6,126,9180,9318,6,10,52,945
-6,126,9312,9450,5,10,52,944
120,258,9180,9318,6,10,52,943
120,258,9312,9450,10,52,18,942
252,522,8916,9186,6,64,52,932
252,390,9180,9318,6,10,52,941
252,390,9312,9450,6,10,52,941
384,522,9180,9318,6,10,52,950
384,522,9312,9450,6,10,52,950
516,786,8394,8658,6,64,69,932
516,786,8652,8922,6,9,52,943
780,1050,8394,8658,6,41,69,938
780,1050,8652,8922,6,9,52,940
516,786,8916,9186,6,41,52,944
516,786,9180,9450,6,41,52,943
780,1050,8916,9186,6,41,52,943
780,1050,9180,9450,6,41,52,945
-6,126,9444,9576,5,10,51,944
-6,126,9570,9708,5,10,51,943
120,258,9444,9576,5,10,52,942
120,258,9570,9708,5,10,51,941
-6,126,9702,9840,5,10,51,942
-6,126,9834,9972,5,10,51,942
120,258,9702,9840,5,10,51,940
120,258,9834,9972,5,10,51,940
252,390,9444,9576,10,41,69,940
252,390,9570,9708,5,10,51,939
384,522,9444,9576,10,41,69,949
384,522,9570,9708,10,41,69,949
252,522,9702,9972,10,51,18,936
-6,258,9966,10236,10,51,18,930
-6,258,10230,10500,5,10,51,929
252,522,9966,10236,10,51,18,936
252,522,10230,10500,10,51,18,936
516,654,9444,9576,10,25,69,951
516,654,9570,9708,10,25,69,951
648,786,9444,9576,6,10,52,952
648,786,9570,9708,10,25,69,952
516,786,9702,9972,10,41,69,941
780,1050,9444,9708,10,41,69,945
780,1050,9702,9972,10,41,69,944
516,786,9966,10236,10,41,69,940
516,786,10230,10500,10,51,18,940
780,1050,9966,10236,10,25,69,943
780,918,10230,10368,5,10,51,951
780,918,10362,10500,5,10,51,951
912,1050,10230,10368,5,10,51,953
912,1050,10362,10500,5,10,51,952
1044,1308,8394,8658,6,41,69,949
1044,1308,8652,8922,6,9,53,936
1302,1572,8394,8658,6,41,69,950
1302,1572,8652,8922,6,25,53,950
1044,1308,8916,9186,6,41,52,939
1044,1308,9180,9450,6,10,52,941
1302,1572,8916,9186,6,10,52,934
1302,1572,9180,9450,6,10,52,936
1566,1836,8394,8658,6,25,69,946
1566,1836,8652,8922,6,25,53,951
1830,2100,8394,8658,6,25,69,948
1830,2100,8652,8922,6,10,53,944
1566,1836,8916,9186,6,10,52,950
1566,1836,9180,9450,6,10,52,950
1830,2100,8916,9186,6,10,52,951
1830,2100,9180,9450,6,10,52,951
1044,1308,9444,9708,6,10,52,944
1044,1308,9702,9972,10,25,69,946
1302,1572,9444,9708,6,10,52,939
1302,1440,9702,9840,6,10,52,951
1302,1440,9834,9972,10,25,69,952
1434,1572,9702,9840,6,10,52,949
1434,1572,9834,9972,10,25,69,950
1044,1176,9966,10104,10,25,69,955
1044,1176,10098,10236,10,25,69,954
1170,1308,9966,10104,10,25,69,955
1170,1308,10098,10236,10,25,69,956
1044,1176,10230,10368,5,10,51,954
1044,1176,10362,10500,5,10,51,954
1170,1308,10230,10368,10,25,69,955
1170,1308,10362,10500,5,10,51,955
1302,1440,9966,10104,10,25,69,953
1302,1440,10098,10236,10,25,69,955
1434,1572,9966,10104,10,25,69,951
1434,1572,10098,10236,10,25,69,952
1302,1374,10230,10302,5,10,51,960
1302,1374,10296,10368,5,10,51,961
1368,1440,10230,10302,5,10,51,959
1368,1440,10296,10368,5,10,51,960
1302,1374,10362,10434,5,10,51,961
1302,1374,10428,10500,5,10,51,960
1368,1440,10362,10434,5,10,51,960
1368,1440,10428,10500,5,10,51,959
1434,1506,10230,10302,5,10,51,958
1434,1506,10296,10368,5,10,51,959
1500,1572,10230,10302,10,25,69,957
1500,1572,10296,10368,5,10,51,958
1434,1506,10362,10434,5,10,51,959
1434,1506,10428,10500,5,10,51,958
1500,1572,10362,10434,5,10,51,958
1500,1572,10428,10500,5,10,51,958
1566,1836,9444,9708,6,10,52,950
1566,1836,9702,9972,6,10,52,937
1830,2100,9444,9708,6,10,52,950
1830,2100,9702,9972,6,10,52,944
1566,1704,9966,10104,10,25,69,949
1566,1638,10098,10170,10,25,69,955
1566,1638,10164,10236,10,25,69,956
1632,1704,10098,10170,10,25,69,954
1632,1704,10164,10236,10,25,69,954
1698,1770,9966,10038,6,10,52,951
1698,1770,10032,10104,10,25,69,952
1764,1836,9966,10038,6,10,52,950
1764,1836,10032,10104,10,25,69,951
1698,1770,10098,10170,10,25,69,953
1698,1770,10164,10236,10,25,69,953
1764,1836,10098,10170,10,25,69,951
1764,1800,10164,10200,10,25,69,955
1764,1800,10194,10236,10,25,69,955
1794,1836,10164,10200,10,25,69,954
1794,1836,10194,10236,10,25,69,954
1566,1638,10230,10302,10,25,69,956
1566,1638,10296,10368,10,25,69,957
1632,1704,10230,10302,10,25,69,955
1632,1668,10296,10332,5,10,51,958
1632,1668,10326,10368,5,10,51,958
1662,1704,10296,10332,10,25,69,957
1662,1704,10326,10368,5,10,51,958
1566,1638,10362,10434,5,10,51,957
1566,1638,10428,10500,5,25,51,957
1632,1668,10362,10398,5,10,51,959
1632,1668,10392,10434,5,10,51,959
1662,1704,10362,10398,5,10,51,958
1662,1704,10392,10434,5,10,51,958
1632,1704,10428,10500,5,25,51,956
1698,1734,10230,10266,10,25,69,957
1698,1734,10260,10302,10,25,69,956
1728,1770,10230,10266,10,25,69,956
1728,1770,10260,10302,10,25,69,956
1698,1734,10296,10332,10,25,69,957
1698,1716,10326,10350,5,10,51,958
1698,1716,10344,10368,5,10,51,959
1710,1734,10326,10350,5,10,51,958
1710,1734,10344,10368,5,10,51,958
1728,1752,10296,10314,5,10,51,957
1728,1752,10308,10332,5,10,51,958
1746,1770,10296,10314,5,10,51,957
1746,1770,10308,10332,5,10,51,957
1728,1752,10326,10350,5,10,51,958
1728,1752,10344,10368,5,10,51,958
1746,1770,10326,10350,5,10,51,957
1746,1770,10344,10368,5,10,51,958
1764,1800,10230,10266,10,25,69,955
1764,1782,10260,10284,10,25,69,957
1764,1782,10278,10302,10,25,69,957
1776,1800,10260,10284,10,25,69,956
1776,1800,10278,10302,10,25,69,956
1794,1836,10230,10266,10,51,86,954
1794,1836,10260,10302,10,51,86,955
1764,1782,10296,10314,5,10,51,957
1764,1782,10308,10332,5,10,51,957
1776,1800,10296,10314,10,51,86,957
1776,1800,10308,10332,10,51,86,957
1764,1782,10326,10350,5,10,51,957
1764,1782,10344,10368,5,10,51,957
1776,1800,10326,10350,5,10,51,957
1776,1800,10344,10368,5,10,51,957
1794,1836,10296,10332,10,51,86,955
1794,1836,10326,10368,10,51,86,955
1698,1734,10362,10398,5,10,51,958
1698,1734,10392,10434,5,25,51,958
1728,1752,10362,10380,5,10,51,958
1728,1752,10374,10398,5,10,51,958
1746,1770,10362,10380,5,10,51,958
1746,1770,10374,10398,5,10,51,958
1728,1770,10392,10434,5,25,51,957
1698,1734,10428,10464,5,25,51,958
1698,1734,10458,10500,5,25,51,957
1728,1770,10428,10464,5,25,51,957
1728,1770,10458,10500,5,25,51,958
1764,1800,10362,10398,25,51,86,957
1764,1800,10392,10434,25,51,86,956
1794,1836,10362,10398,25,51,86,956
1794,1836,10392,10434,25,51,86,956
1764,1836,10428,10500,25,51,86,954
1830,1968,9966,10104,6,10,52,944
1830,1968,10098,10236,10,52,86,945
1962,2100,9966,10104,6,10,52,952
1962,2100,10098,10236,10,52,86,950
1830,1968,10230,10368,25,51,86,946
1830,1968,10362,10500,25,51,86,948
1962,2100,10230,10368,25,52,86,958
1962,2100,10362,10500,25,51,86,945
-6,126,10494,10626,5,10,51,939
-6,126,10620,10758,5,10,51,939
120,258,10494,10626,5,10,51,941
120,258,10620,10758,5,10,51,941
-6,126,10752,10890,5,10,51,938
-6,126,10884,11022,5,10,51,949
120,258,10752,10890,5,10,51,940
120,258,10884,11022,5,10,51,939
252,522,10494,10758,5,10,51,935
252,390,10752,10890,5,10,51,942
252,390,10884,11022,5,10,51,942
384,522,10752,10890,5,10,51,944
384,522,10884,11022,5,10,51,944
-6,126,11016,11154,5,10,51,946
-6,126,11148,11286,5,10,52,943
120,258,11016,11154,5,10,51,939
120,258,11148,11286,5,25,52,938
-6,126,11280,11418,5,25,69,939
-6,126,11412,11550,18,25,69,935
120,258,11280,11418,5,25,53,938
120,258,11412,11550,18,25,55,935
252,390,11016,11154,5,10,51,941
252,390,11148,11286,5,25,53,941
384,522,11016,11154,5,25,51,943
384,522,11148,11286,5,25,51,941
252,390,11280,11418,5,25,53,938
252,390,11412,11550,5,25,53,934
384,522,11280,11418,5,25,53,938
384,522,11412,11550,5,25,53,934
516,786,10494,10758,5,10,51,939
516,654,10752,10890,5,10,51,946
516,654,10884,11022,5,10,51,946
648,786,10752,10890,5,10,51,948
648,786,10884,11022,5,25,51,948
780,918,10494,10626,5,10,51,951
780,918,10620,10758,5,10,51,950
912,1050,10494,10626,5,10,51,952
912,1050,10620,10758,5,10,51,952
780,918,10752,10890,5,25,51,950
780,918,10884,11022,5,25,51,947
912,1050,10752,10890,5,25,51,950
912,1050,10884,11022,5,25,51,947
516,654,11016,11154,5,25,51,943
516,654,11148,11286,5,25,51,941
648,786,11016,11154,5,25,51,944
648,786,11148,11286,5,25,51,941
516,786,11280,11550,5,25,55,926
780,1050,11016,11286,5,25,55,933
780,1050,11280,11550,5,25,55,925
-6,258,11544,11808,18,25,55,920
-6,258,11802,12072,18,25,50,912
252,522,11544,11808,18,25,55,919
252,522,11802,12072,18,25,55,910
-6,258,12066,12336,18,25,50,902
-6,126,12330,12468,25,50,33,905
-6,126,12462,12600,25,50,33,900
120,258,12330,12468,18,25,50,904
120,192,12462,12534,18,25,50,905
120,192,12528,12600,25,50,33,903
186,258,12462,12534,18,25,50,905
186,258,12528,12600,18,25,50,902
252,522,12066,12336,18,25,50,901
252,522,12330,12600,18,25,50,891
516,786,11544,11808,18,25,55,918
516,786,11802,12072,18,25,55,909
780,1050,11544,11808,5,25,55,917
780,1050,11802,12072,18,25,55,909
516,786,12066,12336,18,25,50,900
516,786,12330,12600,18,25,50,890
780,918,12066,12204,18,25,55,911
780,918,12198,12336,18,25,50,906
912,1050,12066,12204,18,25,55,911
912,1050,12198,12336,11,50,18,906
780,1050,12330,12600,18,25,50,889
1044,1176,10494,10626,5,10,51,954
1044,1176,10620,10758,5,25,51,953
1170,1308,10494,10626,5,10,51,955
1170,1308,10620,10758,5,25,51,953
1044,1176,10752,10890,5,25,51,950
1044,1176,10884,11022,5,25,51,947
1170,1308,10752,10890,5,25,51,950
1170,1308,10884,11022,5,25,51,947
1302,1440,10494,10626,5,25,51,954
1302,1440,10620,10758,5,25,51,952
1434,1506,10494,10560,5,25,51,958
1434,1506,10554,10626,5,25,51,957
1500,1572,10494,10560,5,25,51,957
1500,1572,10554,10626,5,25,51,956
1434,1572,10620,10758,5,25,51,950
1302,1440,10752,10890,5,25,51,950
1302,1440,10884,11022,5,25,51,947
1434,1572,10752,10890,5,25,51,950
1434,1572,10884,11022,5,25,51,946
1044,1308,11016,11286,5,25,55,932
1044,1308,11280,11550,5,25,55,925
1302,1440,11016,11154,5,25,51,943
1302,1440,11148,11286,5,25,51,940
1434,1572,11016,11154,5,25,51,943
1434,1572,11148,11286,5,25,51,939
1302,1572,11280,11550,5,25,55,924
1566,1638,10494,10560,5,25,51,956
1566,1638,10554,10626,5,25,51,955
1632,1704,10494,10560,5,25,51,957
1632,1704,10554,10626,5,25,51,958
1566,1638,10620,10692,5,25,51,958
1566,1638,10686,10758,5,25,51,957
1632,1704,10620,10692,5,25,51,958
1632,1704,10686,10758,5,25,51,957
1698,1770,10494,10560,5,25,51,956
1698,1770,10554,10626,5,25,51,957
1764,1836,10494,10560,25,51,86,955
1764,1836,10554,10626,5,25,51,956
1698,1770,10620,10692,5,25,51,957
1698,1770,10686,10758,5,25,51,957
1764,1836,10620,10692,5,25,51,956
1764,1836,10686,10758,5,25,51,956
1566,1704,10752,10890,5,25,51,950
1566,1704,10884,11022,5,25,51,946
1698,1770,10752,10824,5,25,51,955
1698,1770,10818,10890,5,25,51,953
1764,1836,10752,10824,5,25,51,955
1764,1836,10818,10890,5,25,51,953
1698,1836,10884,11022,5,25,51,946
1830,2100,10494,10758,25,51,86,939
1830,2100,10752,11022,25,51,86,939
1566,1704,11016,11154,5,25,51,943
1566,1704,11148,11286,5,25,51,939
1698,1836,11016,11154,5,25,51,943
1698,1836,11148,11286,5,25,51,939
1566,1704,11280,11418,5,25,51,935
1566,1704,11412,11550,5,25,51,932
1698,1836,11280,11418,5,25,51,935
1698,1836,11412,11550,5,11,51,931
1830,1968,11016,11154,5,25,51,943
1830,1968,11148,11286,5,25,51,939
1962,2100,11016,11154,25,51,86,943
1962,2100,11148,11286,5,64,51,939
1830,1968,11280,11418,5,11,51,935
1830,1968,11412,11550,5,11,51,931
1962,2100,11280,11418,5,11,51,935
1962,2100,11412,11550,5,11,51,931
1044,1308,11544,11808,5,25,55,917
1044,1176,11802,11940,5,25,53,920
1044,1176,11934,12072,5,25,53,915
1170,1308,11802,11940,5,25,53,919
1170,1308,11934,12072,5,11,53,915
1302,1572,11544,11808,5,25,55,916
1302,1440,11802,11940,5,11,53,919
1302,1440,11934,12072,5,11,53,915
1434,1572,11802,11940,5,11,53,919
1434,1572,11934,12072,5,11,53,914
1044,1176,12066,12204,11,55,18,910
1044,1176,12198,12336,11,55,18,906
1170,1308,12066,12204,5,11,53,910
1170,1242,12198,12270,11,53,18,911
1170,1242,12264,12336,11,53,18,909
1236,1308,12198,12270,5,11,53,911
1236,1308,12264,12336,11,53,18,909
1044,1176,12330,12468,11,50,18,901
1044,1176,12462,12600,11,50,18,895
1170,1242,12330,12402,11,50,18,906
1170,1242,12396,12468,11,50,18,904
1236,1308,12330,12402,11,53,18,906
1236,1308,12396,12468,11,50,18,904
1170,1308,12462,12600,11,50,18,895
1302,1440,12066,12204,5,11,53,910
1302,1440,12198,12336,5,11,53,905
1434,1572,12066,12204,5,11,53,910
